msoa,index-of-transport-accessibility
E02001820,331
E02001821,327
E02001822,329
E02001823,326
E02001824,331
E02001825,326
E02001826,327
E02002183,149
E02002184,169
E02002185,187
E02002186,166
E02002187,188
E02002188,183
E02002189,172
E02002190,219
E02002191,165
E02002192,199
E02002193,164
E02002194,159
E02002195,205
E02002196,170
E02002197,237
E02002198,224
E02002199,274
E02002200,246
E02002201,294
E02002202,269
E02002203,293
E02002204,222
E02002205,190
E02002206,323
E02002207,326
E02002208,332
E02002209,304
E02002210,388
E02002211,332
E02002212,297
E02002213,206
E02002214,358
E02002215,378
E02002216,373
E02002217,400
E02002218,302
E02002219,407
E02002220,437
E02002221,502
E02002222,350
E02002223,430
E02002224,467
E02002225,272
E02002226,552
E02002227,691
E02002228,569
E02002229,401
E02002230,675
E02002231,492
E02002232,608
E02002233,717
E02002234,605
E02002235,801
E02002236,654
E02002237,532
E02002238,769
E02002239,733
E02002240,357
E02002241,631
E02002242,768
E02002243,808
E02002244,287
E02002245,288
E02002246,548
E02002247,186
E02002248,335
E02002249,377
E02002250,304
E02002251,462
E02002252,335
E02002253,353
E02002254,695
E02002255,414
E02002256,133
E02002257,422
E02002258,730
E02002259,500
E02002260,495
E02002261,639
E02002262,740
E02002263,539
E02002264,617
E02002265,134
E02002266,748
E02002267,837
E02002268,835
E02002269,691
E02002270,799
E02002271,759
E02002272,779
E02002273,939
E02002274,693
E02002275,781
E02002276,643
E02002277,616
E02002278,739
E02002279,602
E02002280,557
E02002281,547
E02002282,511
E02002283,535
E02002284,623
E02002285,623
E02002286,502
E02002287,493
E02002288,583
E02002289,491
E02002290,617
E02002291,709
E02002292,705
E02002293,521
E02002294,451
E02002295,635
E02002296,669
E02002297,863
E02002298,504
E02002299,685
E02002300,905
E02002301,794
E02002302,662
E02002303,816
E02002304,749
E02002305,486
E02002306,735
E02002307,552
E02002308,838
E02002309,652
E02002310,500
E02002311,713
E02002312,485
E02002313,563
E02002314,449
E02002315,594
E02002316,496
E02002317,525
E02002318,429
E02002319,471
E02002320,426
E02002321,421
E02002322,357
E02002323,328
E02002324,369
E02002325,339
E02002326,346
E02002327,363
E02002328,355
E02002329,337
E02002330,506
E02002331,531
E02002332,215
E02002333,226
E02002334,529
E02002335,420
E02002336,242
E02002337,194
E02002338,202
E02002339,240
E02002340,272
E02002341,287
E02002342,253
E02002343,269
E02002344,314
E02002345,302
E02002346,254
E02002347,321
E02002348,278
E02002349,331
E02002350,298
E02002351,407
E02002352,352
E02002353,317
E02002354,396
E02002356,338
E02002357,295
E02002358,392
E02002359,454
E02002360,357
E02002361,372
E02002362,308
E02002363,417
E02002364,399
E02002366,388
E02002367,451
E02002368,407
E02002369,376
E02002370,429
E02002371,498
E02002373,385
E02002374,400
E02002375,391
E02002376,417
E02002377,462
E02002379,442
E02002380,365
E02002381,357
E02002382,490
E02002383,500
E02002384,583
E02002385,495
E02002386,536
E02002387,449
E02002388,437
E02002389,470
E02002390,499
E02002391,401
E02002392,615
E02002393,544
E02002394,516
E02002395,446
E02002396,500
E02002397,465
E02002398,556
E02002399,574
E02002400,625
E02002401,530
E02002402,612
E02002403,542
E02002404,658
E02002405,369
E02002406,538
E02002407,611
E02002408,455
E02002409,590
E02002410,658
E02002411,738
E02002412,731
E02002414,675
E02002415,690
E02002416,564
E02002417,539
E02002418,472
E02002419,730
E02002420,677
E02002421,706
E02002422,593
E02002423,627
E02002424,823
E02002425,815
E02002426,646
E02002427,629
E02002428,555
E02002429,588
E02002430,633
E02002431,700
E02002432,553
E02002433,684
E02002434,778
E02002435,691
E02002436,722
E02002437,762
E02002438,540
E02002439,553
E02002440,593
E02002441,595
E02002442,629
E02002443,582
E02002444,651
E02002445,599
E02002446,585
E02002447,537
E02002448,644
E02002449,577
E02002450,632
E02002451,667
E02002452,569
E02002453,551
E02002454,591
E02002455,515
E02002456,583
E02002457,531
E02002458,608
E02002459,582
E02002460,512
E02002461,597
E02002462,591
E02002463,603
E02002464,485
E02002465,548
E02002466,590
E02002467,469
E02002468,508
E02002469,411
E02002470,506
E02002471,414
E02002472,469
E02002473,639
E02002474,573
E02002475,470
E02002476,329
E02002477,369
E02002478,489
E02002479,410
E02002480,448
E02002481,442
E02002482,393
E02002483,323
E02002484,296
E02002485,305
E02002487,297
E02002488,306
E02002489,285
E02002490,267
E02002491,280
E02002492,291
E02002493,255
E02002494,291
E02002496,279
E02002497,277
E02002498,300
E02002499,260
E02002500,267
E02002501,266
E02002502,227
E02002503,301
E02002504,295
E02002505,235
E02002506,252
E02002507,296
E02002508,299
E02002509,272
E02002510,280
E02002512,273
E02002513,279
E02002514,261
E02002515,182
E02002516,185
E02002517,193
E02002518,176
E02002519,194
E02002520,191
E02002521,167
E02002523,235
E02002524,137
E02002525,245
E02002526,160
E02002527,115
E02002529,191
E02002530,118
E02002532,175
E02002533,139
E02002534,126
E02002535,322
E02002536,318
E02002537,298
E02002538,325
E02002539,307
E02002540,324
E02002541,323
E02002542,300
E02002543,287
E02002544,298
E02002545,267
E02002546,281
E02002547,259
E02002548,265
E02002549,261
E02002550,245
E02002551,302
E02002552,291
E02002553,270
E02002554,282
E02002555,238
E02002556,260
E02002557,237
E02002558,274
E02002559,342
E02002560,318
E02002561,287
E02002562,303
E02002563,285
E02002564,317
E02002565,308
E02002566,286
E02002567,228
E02002568,299
E02002569,294
E02002570,235
E02002571,226
E02002572,255
E02002573,237
E02002574,769
E02002575,725
E02002576,757
E02002577,712
E02002578,725
E02002579,726
E02002580,755
E02002581,741
E02002582,711
E02002583,725
E02002584,718
E02002585,702
E02002586,733
E02002587,679
E02002588,709
E02002589,744
E02002590,822
E02002591,782
E02002592,814
E02002593,876
E02002594,873
E02002595,837
E02002596,847
E02002597,822
E02002598,829
E02002599,761
E02002600,802
E02002601,834
E02002602,772
E02002603,852
