msoa,index-of-transport-accessibility
E02003865,4
E02003866,9
E02003867,8
E02003868,9
E02003869,9
E02003870,8
E02003871,8
E02003872,6
E02003873,8
E02003874,3
E02003875,2
E02003876,5
E02003877,2
E02003878,3
E02003879,6
E02003880,5
E02003881,6
E02003882,4
E02003883,6
E02003884,2
E02003885,6
E02003886,6
E02003887,5
E02003888,5
E02003889,5
E02003890,5
E02003891,1
E02003965,1
E02003966,1
E02003967,1
E02003968,2
E02003969,2
E02003970,2
E02003971,2
E02003972,4
E02003973,4
E02003974,4
E02003975,4
E02003976,1
E02003977,2
E02003978,4
E02003979,7
E02003980,8
E02003981,8
E02003982,7
E02003983,8
E02003984,8
E02003985,5
E02003986,6
E02003987,1
E02003988,1
E02003989,7
E02003990,7
E02003991,4
E02003992,10
E02003993,1
E02003994,10
E02003995,8
E02003996,10
E02003997,5
E02003998,8
E02003999,7
E02004000,2
E02004001,4
E02004002,3
E02004003,1
E02004004,3
E02004005,1
E02004006,1
E02004007,1
E02004008,1
E02004009,1
E02004010,2
E02004011,2
E02004012,1
E02004013,1
E02004014,1
E02004015,1
E02004016,1
E02004017,4
E02004018,4
E02004019,4
E02004020,4
E02004021,1
E02004022,1
E02004023,1
E02004024,1
E02004025,1
E02004026,2
E02004027,1
E02004028,2
E02004290,5
E02004291,5
E02004292,8
E02004293,4
E02004294,5
E02004295,6
E02004296,1
E02004297,3
E02004298,3
E02004299,4
E02004300,5
E02004301,4
E02004302,4
E02004303,4
E02004304,3
E02004305,4
E02004306,1
E02004307,2
E02004308,3
E02004309,5
E02004310,3
E02004311,3
E02004312,4
E02004313,6
E02004314,6
E02004315,7
E02004316,1
E02004317,2
E02004318,2
E02004319,2
E02004320,5
E02004321,3
E02004322,4
E02004323,4
E02004324,4
E02004325,6
E02004326,5
E02004327,6
E02004328,6
E02004329,6
E02004330,3
E02004331,3
E02004332,4
E02004333,3
E02004334,1
E02004335,4
E02004336,3
E02004337,3
E02004338,2
E02004339,1
E02004340,3
E02004341,4
E02004342,4
E02004343,4
E02004344,4
E02004345,1
E02004346,1
E02004347,1
E02004348,1
E02004349,2
E02004350,3
E02004351,2
E02004352,4
E02004353,4
E02004354,3
E02004355,5
E02005176,11
E02005177,13
E02005178,12
E02005179,5
E02005180,9
E02005181,10
E02005182,11
E02005183,9
E02005184,6
E02005185,10
E02005186,6
E02005189,7
E02005190,1
E02005191,10
E02005192,7
