msoa,index-of-transport-accessibility
E02002254,65
E02002255,50
E02002256,35
E02002257,41
E02002258,95
E02002259,51
E02002260,60
E02002261,61
E02002262,83
E02002263,28
E02002264,70
E02002265,29
E02002266,79
E02002267,49
E02002268,65
E02002269,37
E02002270,38
E02002271,90
E02002272,65
E02002273,35
E02002274,66
E02002275,69
E02002276,54
E02002277,78
E02002278,58
E02002279,67
E02002280,65
E02002281,58
E02002282,62
E02002283,67
E02002284,74
E02002285,56
E02002286,51
E02002287,71
E02002288,72
E02002289,64
E02002290,36
E02002291,54
E02002292,62
E02002293,46
E02002294,62
E02002295,74
E02002296,103
E02002297,63
E02002298,31
E02002299,105
E02002300,59
E02002301,73
E02002302,39
E02002303,66
E02002304,102
E02002305,54
E02002306,21
E02002307,48
E02002308,48
E02002309,55
E02002310,49
E02002311,43
E02002312,57
E02002313,54
E02002314,32
E02002315,46
E02002316,29
E02002317,49
E02002318,50
E02002319,43
E02002320,47
E02002321,13
E02002322,21
E02002323,29
E02002324,13
E02002325,42
E02002326,13
E02002327,4
E02002328,11
E02002329,11
E02002330,20
E02002331,21
E02002332,30
E02002333,49
E02002334,12
E02002335,42
E02002336,47
E02002337,75
E02002338,94
E02002339,69
E02002340,65
E02002341,39
E02002342,61
E02002343,69
E02002344,64
E02002345,73
E02002346,92
E02002347,68
E02002348,71
E02002349,68
E02002350,92
E02002351,52
E02002352,88
E02002353,63
E02002354,85
E02002356,88
E02002357,80
E02002358,60
E02002359,42
E02002360,74
E02002361,68
E02002362,90
E02002363,110
E02002364,68
E02002366,68
E02002367,97
E02002368,80
E02002369,63
E02002370,61
E02002371,122
E02002373,103
E02002374,120
E02002375,89
E02002376,80
E02002377,111
E02002379,78
E02002380,95
E02002381,92
E02002382,108
E02002383,117
E02002384,124
E02002385,129
E02002386,79
E02002387,143
E02002388,100
E02002389,93
E02002390,94
E02002391,120
E02002392,136
E02002393,135
E02002394,110
E02002395,118
E02002396,106
E02002397,102
E02002398,82
E02002399,114
E02002400,133
E02002401,74
E02002402,61
E02002403,54
E02002404,120
E02002405,86
E02002406,45
E02002407,104
E02002408,81
E02002409,84
E02002410,104
E02002411,143
E02002412,117
E02002414,135
E02002415,133
E02002416,67
E02002417,42
E02002418,42
E02002419,117
E02002420,123
E02002421,103
E02002422,111
E02002423,98
E02002424,97
E02002425,86
E02002426,71
E02002427,82
E02002428,97
E02002429,81
E02002430,91
E02002431,89
E02002432,36
E02002433,101
E02002434,53
E02002435,85
E02002436,80
E02002437,79
E02002438,28
E02002439,58
E02002440,30
E02002441,45
E02002442,38
E02002443,80
E02002444,73
E02002445,101
E02002446,33
E02002447,13
E02002448,14
E02002449,22
E02002450,46
E02002451,65
E02002452,39
E02002453,50
E02002454,121
E02002455,15
E02002456,80
E02002457,63
E02002458,68
E02002459,56
E02002460,27
E02002461,29
E02002462,56
E02002463,71
E02002464,37
E02002465,81
E02002466,52
E02002467,107
E02002468,61
E02002469,50
E02002470,58
E02002471,23
E02002472,19
E02002473,34
E02002474,34
E02002475,47
E02002476,46
E02002477,21
E02002478,12
E02002479,39
E02002480,54
E02002481,53
E02002482,19
E02002483,28
E02002484,29
E02002485,31
E02002487,34
E02002488,24
E02002489,34
E02002490,32
E02002491,26
E02002492,24
E02002493,34
E02002494,22
E02002496,58
E02002497,48
E02002498,64
E02002499,51
E02002500,56
E02002501,48
E02002502,42
E02002503,55
E02002504,53
E02002505,43
E02002506,48
E02002507,43
E02002508,41
E02002509,49
E02002510,30
E02002512,35
E02002513,31
E02002514,28
E02002515,42
E02002516,31
E02002517,22
E02002518,33
E02002519,26
E02002520,36
E02002521,16
E02002523,31
E02002524,21
E02002525,40
E02002526,19
E02002527,6
E02002529,42
E02002530,6
E02002532,29
E02002533,29
E02002534,29
E02002535,34
E02002536,38
E02002537,32
E02002538,46
E02002539,28
E02002540,33
E02002541,50
E02002542,45
E02002543,37
E02002544,57
E02002545,39
E02002546,63
E02002547,42
E02002548,61
E02002549,35
E02002550,43
E02002551,61
E02002552,58
E02002553,54
E02002554,45
E02002555,44
E02002556,29
E02002557,21
E02002558,30
E02002559,23
E02002560,41
E02002561,39
E02002562,30
E02002563,39
E02002564,25
E02002565,29
E02002566,41
E02002567,31
E02002568,31
E02002569,19
E02002570,37
E02002571,28
E02002572,40
E02002573,25
E02002574,36
E02002575,27
E02002576,41
E02002577,82
E02002578,74
E02002579,38
E02002580,40
E02002581,11
E02002582,19
E02002583,16
E02002584,17
E02002585,85
E02002586,11
E02002587,20
E02002588,13
E02002589,11
E02002590,29
E02002591,23
E02002592,15
E02002593,40
E02002594,49
E02002595,61
E02002596,40
E02002597,68
E02002598,31
E02002599,28
E02002600,67
E02002601,28
E02002602,41
E02002603,29
E02002604,41
