msoa,index-of-transport-accessibility
E02002462,93
E02002463,88
E02002464,58
E02002465,95
E02002466,93
E02002467,90
E02002468,89
E02002469,74
E02002470,86
E02002471,56
E02002472,88
E02002473,86
E02002474,85
E02002475,81
E02002476,65
E02002477,68
E02002478,46
E02002479,64
E02002480,53
E02002481,54
E02002482,56
E02002483,25
E02002484,26
E02002485,28
E02002487,29
E02002488,30
E02002489,28
E02002490,30
E02002491,32
E02002492,37
E02002493,26
E02002494,41
E02002496,60
E02002497,59
E02002498,63
E02002499,59
E02002500,59
E02002501,60
E02002502,59
E02002503,58
E02002504,59
E02002505,59
E02002506,58
E02002507,56
E02002508,55
E02002509,59
E02002510,53
E02002512,59
E02002513,56
E02002514,59
E02002515,34
E02002516,35
E02002517,35
E02002518,32
E02002519,38
E02002520,26
E02002521,20
E02002523,55
E02002524,16
E02002525,53
E02002526,20
E02002527,14
E02002529,53
E02002530,16
E02002532,40
E02002533,40
E02002534,39
E02002535,57
E02002536,62
E02002537,59
E02002538,60
E02002539,57
E02002540,60
E02002541,62
E02002542,61
E02002543,61
E02002544,59
E02002545,60
E02002546,57
E02002547,60
E02002548,56
E02002549,57
E02002550,62
E02002551,51
E02002552,51
E02002553,51
E02002554,51
E02002555,57
E02002556,51
E02002557,51
E02002558,51
E02002559,25
E02002560,32
E02002561,37
E02002562,28
E02002563,36
E02002564,25
E02002565,27
E02002566,27
E02002567,27
E02002568,23
E02002569,22
E02002570,28
E02002571,27
E02002572,25
E02002573,34
E02002574,101
E02002575,108
E02002576,96
E02002577,112
E02002578,102
E02002579,106
E02002580,99
E02002581,97
E02002582,51
E02002583,57
E02002584,72
E02002585,71
E02002586,61
E02002587,48
E02002588,54
E02002589,54
E02002590,94
E02002591,96
E02002592,89
E02002593,73
E02002594,72
E02002595,79
E02002596,68
E02002597,74
E02002598,81
E02002599,77
E02002600,76
E02002601,71
E02002602,81
E02002603,72
E02002604,84
E02002605,79
E02002606,76
E02002607,77
E02002608,87
E02002609,68
E02002610,62
E02002611,66
E02002612,65
E02002613,56
E02002614,55
E02002615,48
E02002616,55
E02002617,49
E02002618,50
E02002619,56
E02002620,50
E02002621,48
E02002622,46
E02002623,50
E02002624,62
E02002625,48
E02002626,56
E02002627,49
E02002628,58
E02002629,60
E02002630,61
E02002631,66
E02002632,83
E02002633,36
E02002634,37
E02002635,37
E02002636,38
E02002637,38
E02002638,38
E02002639,39
E02002640,38
E02002641,40
E02002642,39
E02002643,39
E02002644,39
E02002645,38
E02002646,38
E02002647,39
E02002648,39
E02002649,36
E02002650,36
E02002651,36
E02002652,49
E02002653,48
E02002654,47
E02002655,48
E02002656,50
E02002657,49
E02002658,48
E02002659,47
E02002660,47
E02002661,47
E02002662,48
E02002663,49
E02002664,49
E02002665,48
E02002666,49
E02002667,49
E02002668,48
E02002669,48
E02002670,49
E02002671,48
E02002672,44
E02002673,47
E02002674,49
E02002675,49
E02002676,49
E02002677,48
E02002678,49
E02002679,50
E02002680,50
E02002681,48
E02002682,50
E02002684,7
E02002685,6
E02002686,7
E02002687,6
E02002688,6
E02002689,9
E02002691,5
E02002692,16
E02002693,6
E02002694,5
E02002695,4
E02002696,15
E02002697,22
E02002698,6
E02002699,37
E02002700,45
E02002701,5
E02002702,46
E02002703,47
E02002704,33
E02002705,49
E02002706,50
E02002707,20
E02002708,49
E02002709,8
E02002710,49
E02002711,49
E02002712,38
E02002714,8
E02002715,24
E02002716,29
E02002717,49
E02002718,39
E02002719,48
E02002720,8
E02002721,7
E02002722,2
E02002723,10
E02002724,9
E02002725,14
E02002726,19
E02002727,23
E02002728,23
E02002729,23
E02002730,23
E02002731,23
E02002732,24
E02002733,23
E02002734,23
E02002735,23
E02002736,23
E02002737,23
E02002738,23
E02002739,22
E02002740,23
E02002741,23
E02002742,22
E02002743,22
E02002744,23
E02002745,22
E02002746,23
E02002747,22
E02002748,22
E02002749,29
E02002750,13
E02002751,15
E02002752,6
E02002753,17
E02002754,20
E02002755,18
E02002756,18
E02002757,19
E02002758,18
E02002759,17
E02002760,18
E02002761,17
E02002762,18
E02002763,17
E02002764,18
E02002765,18
E02002766,17
E02002767,18
E02002768,11
E02002769,16
E02002770,15
E02002771,5
E02002772,26
E02002773,27
E02002774,26
E02002775,25
E02002776,25
E02002777,26
E02002778,26
E02002779,25
E02002780,27
E02002781,25
E02002782,26
E02002783,27
E02002784,26
E02002785,25
E02002786,25
E02002787,27
E02002788,27
E02002789,27
E02002790,26
E02002791,26
E02002792,26
E02002793,26
E02002794,26
E02002795,25
E02003794,33
E02003795,32
E02003796,31
E02003797,30
E02003798,30
E02003799,29
E02003800,30
E02003801,29
E02003802,28
E02003803,29
E02003804,27
E02003805,27
E02003806,27
E02003807,26
E02003808,25
E02003809,16
E02003810,3
E02003811,31
E02003812,36
E02003813,39
E02003814,40
E02003815,20
E02003816,20
E02003817,22
E02003818,18
E02003819,35
E02003820,36
E02003821,32
E02003822,26
E02003823,26
E02003824,28
E02003825,31
E02003826,31
E02003827,31
E02003828,31
E02003829,30
E02003830,30
E02003831,28
E02003832,29
E02003833,29
E02003834,29
E02003835,27
E02003836,25
E02003837,22
E02003838,23
E02003839,21
E02003840,16
E02003841,48
E02003842,50
E02003843,46
E02003844,45
E02003845,40
E02003846,43
E02003847,43
E02003848,39
E02003849,39
E02003850,39
E02003851,39
E02003852,38
E02003853,69
E02003854,96
E02003855,87
E02003856,114
E02003857,102
E02003858,92
E02003859,51
E02003860,81
E02003861,44
E02003862,50
E02003863,40
E02003864,64
E02003865,45
E02003866,38
E02003867,34
E02003868,30
E02003869,31
E02003870,30
