msoa,index-of-transport-accessibility
E02002381,355
E02002382,489
E02002383,498
E02002384,582
E02002385,494
E02002386,534
E02002387,447
E02002388,436
E02002389,468
E02002390,496
E02002391,398
E02002392,614
E02002393,542
E02002394,514
E02002395,444
E02002396,499
E02002397,463
E02002398,555
E02002399,571
E02002400,624
E02002401,529
E02002402,611
E02002403,540
E02002404,656
E02002405,367
E02002406,537
E02002407,610
E02002408,453
E02002409,589
E02002410,657
E02002411,736
E02002412,730
E02002414,673
E02002415,688
E02002416,563
E02002417,538
E02002418,471
E02002419,728
E02002420,675
E02002421,704
E02002422,592
E02002423,625
E02002424,821
E02002425,813
E02002426,645
E02002427,625
E02002428,552
E02002429,584
E02002430,631
E02002431,698
E02002432,552
E02002433,682
E02002434,776
E02002435,689
E02002436,720
E02002437,760
E02002438,539
E02002439,552
E02002440,592
E02002441,594
E02002442,628
E02002443,579
E02002444,648
E02002445,596
E02002446,584
E02002447,536
E02002448,643
E02002449,576
E02002450,631
E02002451,665
E02002452,568
E02002453,550
E02002454,584
E02002455,514
E02002456,581
E02002457,529
E02002458,607
E02002459,580
E02002460,511
E02002461,596
E02002462,590
E02002463,601
E02002464,484
E02002465,541
E02002466,589
E02002467,461
E02002468,507
E02002469,409
E02002470,504
E02002471,414
E02002472,469
E02002473,637
E02002474,571
E02002475,468
E02002476,328
E02002477,367
E02002478,488
E02002479,409
E02002480,447
E02002481,441
E02002482,392
E02002483,322
E02002484,295
E02002485,304
E02002487,296
E02002488,305
E02002489,284
E02002490,266
E02002491,279
E02002492,290
E02002493,254
E02002494,290
E02002496,278
E02002497,276
E02002498,299
E02002499,259
E02002500,266
E02002501,265
E02002502,226
E02002503,300
E02002504,294
E02002505,234
E02002506,251
E02002507,295
E02002508,298
E02002509,271
E02002510,279
E02002512,272
E02002513,278
E02002514,260
E02002515,181
E02002516,184
E02002517,192
E02002518,175
E02002519,193
E02002520,190
E02002521,167
E02002523,234
E02002524,136
E02002525,244
E02002526,159
E02002527,115
E02002529,190
E02002530,118
E02002532,174
E02002533,138
E02002534,125
E02002535,321
E02002536,317
E02002537,297
E02002538,324
E02002539,306
E02002540,323
E02002541,322
E02002542,299
E02002543,286
E02002544,297
E02002545,266
E02002546,280
E02002547,258
E02002548,264
E02002549,260
E02002550,244
E02002551,301
E02002552,290
E02002553,269
E02002554,281
E02002555,237
E02002556,259
E02002557,236
E02002558,273
E02002559,342
E02002560,317
E02002561,285
E02002562,302
E02002563,284
E02002564,316
E02002565,307
E02002566,285
E02002567,227
E02002568,298
E02002569,293
E02002570,231
E02002571,225
E02002572,251
E02002573,236
E02002574,767
E02002575,723
